Calculate the projection param...
0 15.902201 <8.631541,7.243786,0.141275,-0.308269,-0.254977,0.628347,-0.355260>        
0 15.728825 <4.284417,6.628880,-0.002947,-0.658988,0.791977,0.415275,0.232183>        
0 14.592816 <2.854463,9.893626,0.011251,-0.830980,0.365738,0.516646,-0.152730>        
0 12.169307 <6.740218,11.298345,0.610705,-0.642027,-0.013735,0.577578,0.409286>        
2 10.626917 <5.058497,11.102417,0.526794,-0.611511,-0.013735,0.628347,0.409286>        
2 9.117714 <3.695641,10.221061,1.267568,-0.737575,0.031417,0.698984,0.317026>        
4 8.716417 <2.989533,11.102417,0.526794,-0.737575,0.031417,0.628347,0.409286>        
5 7.989273 <3.695641,11.298345,1.166515,-0.737575,0.031417,0.698984,0.317026>        
6 7.838182 <5.808193,10.614712,0.955781,-0.611511,0.031417,0.680595,0.409286>        
6 6.350286 <2.353049,9.509238,1.267568,-0.555686,-0.013735,0.583360,0.991428>        
7 6.180415 <3.695641,10.960593,1.166515,-0.737575,0.031417,0.698984,0.646002>        
7 5.584695 <3.695641,9.980588,1.178344,-0.658988,0.031417,0.698984,0.991428>        
9 4.503933 <3.695641,10.221061,0.886924,-0.611511,0.031417,0.886809,0.783735>        
10 3.675841 <2.265026,9.980588,1.047687,-0.611511,-0.013735,0.886809,0.952173>        
12 2.508995 <2.353049,9.980588,0.924211,-0.611511,-0.013735,0.583360,0.291004>        
13 2.404320 <2.265026,9.980588,0.924211,-0.611511,-0.013735,0.886809,0.615776>        
15 2.167896 <1.814063,9.980588,0.978182,-0.611511,-0.013735,0.549778,0.278695>        
16 2.021977 <2.265026,9.980588,0.835184,-0.555686,-0.013735,0.935806,0.224706>        
17 1.911306 <1.907811,9.704334,0.924211,-0.555686,-0.013735,0.549778,0.325997>        
21 1.895212 <1.819010,9.980588,0.835184,-0.555686,-0.013735,0.906601,0.194473>        
22 1.800150 <2.133510,9.980588,0.835184,-0.555686,-0.001913,0.795317,0.194473>        
22 1.374593 <1.340571,9.704334,0.924211,-0.555686,-0.013735,0.906601,0.325997>        
25 1.233377 <1.907811,9.704334,0.924211,-0.555686,-0.013735,0.733605,0.325997>        
26 1.140930 <1.907811,9.704334,0.924211,-0.555686,-0.013735,0.850225,0.325997>        
29 1.116457 <1.986394,9.704334,0.914332,-0.555686,-0.013735,0.857212,0.325997>        
30 1.039112 <1.907811,9.704334,0.884585,-0.555686,-0.013735,0.850625,0.325997>        
30 1.019564 <1.907811,9.704334,0.884585,-0.555686,-0.013735,0.881283,0.347245>        
30 0.994461 <1.907811,9.704334,0.893527,-0.555686,-0.013735,0.848754,0.325997>        
31 0.981378 <1.798929,9.704334,0.884585,-0.555686,-0.013735,0.838040,0.325997>        
33 0.918269 <1.748399,9.704334,0.893527,-0.555686,-0.013735,0.848754,0.325997>        
35 0.891294 <1.748399,9.704334,0.893527,-0.555686,-0.013735,0.915481,0.347245>        
37 0.876192 <1.748399,9.704334,0.893527,-0.555686,-0.013735,0.875006,0.347245>        
37 0.857511 <1.748399,9.704334,0.893527,-0.555686,-0.013735,0.915077,0.360434>        
52 0.846063 <1.748399,9.704334,0.893527,-0.555686,-0.013735,0.923921,0.370728>        
53 0.841962 <1.748399,9.704334,0.893527,-0.555686,-0.013735,0.935418,0.370728>        
70 0.840294 <1.748399,9.704334,0.893527,-0.555686,-0.013735,0.931206,0.370728>        
83 0.831728 <1.798599,9.704334,0.893527,-0.555686,-0.013735,0.944200,0.370728>        
122 0.831636 <1.798599,9.704334,0.893527,-0.555686,-0.013735,0.949526,0.370728>        
126 0.831604 <1.798599,9.704334,0.893527,-0.555686,-0.013735,0.945723,0.370728>        
